hours,bot,mid,top
0,24.03,24.39,23.81
0.25,24.5,24.98,24.37
0.5,25.03,25.64,24.97
0.75,25.56,26.36,25.6
1,26.1,27.11,26.34
1.25,26.57,27.89,27.16
1.5,26.97,28.73,28.06
1.75,27.38,29.54,29.06
2,27.69,30.45,30.06
2.25,28.04,31.36,31.19
2.5,28.28,32.26,32.44
2.75,28.53,33.14,33.75
3,28.78,34.01,35.13
3.25,29.04,34.89,36.53
3.5,29.25,35.79,37.91
3.75,29.56,36.73,39.25
4,29.88,37.61,40.53
4.25,30.19,38.45,41.75
4.5,30.53,39.26,42.82
4.75,30.85,40.11,43.75
5,31.19,40.92,44.54
5.25,31.63,41.7,45.16
5.5,32.06,42.42,45.69
5.75,32.53,43.11,46.03
6,32.97,43.67,46.25
6.25,33.44,44.27,46.38
6.5,33.94,44.73,46.44
6.75,34.41,45.14,46.35
7,34.94,45.51,46.25
7.25,35.44,45.76,46.1
7.5,35.91,45.98,45.91
7.75,36.44,46.11,45.69
8,36.97,46.17,45.5
8.25,37.5,46.17,45.28
8.5,38,46.17,45.13
8.75,38.5,46.2,45
9,38.94,46.17,44.81
9.25,39.47,46.17,44.72
9.5,39.88,46.2,44.6
9.75,40.34,46.17,44.6
10,40.75,46.17,44.47
10.25,41.16,46.2,44.5
10.5,41.53,46.2,44.57
10.75,41.91,46.23,44.53
11,42.32,46.29,44.6
11.25,42.6,46.36,44.66
11.5,42.91,46.45,44.72
11.75,43.19,46.51,44.85
12,43.47,46.61,44.97
12.25,43.72,46.7,45.03
12.5,44,46.86,45.16
12.75,44.22,46.92,45.32
13,44.44,47.08,45.44
13.25,44.66,47.17,45.53
13.5,44.84,47.3,45.72
13.75,45.04,47.45,45.91
14,45.22,47.58,46.03
14.25,45.38,47.74,46.16
14.5,45.5,47.89,46.32
14.75,45.66,48.02,46.47
15,45.78,48.14,46.6
15.25,45.91,48.27,46.75
15.5,46,48.45,46.88
15.75,46.09,48.55,47
16,46.16,48.7,47.16
16.25,46.25,48.86,47.29
16.5,46.28,48.95,47.38
16.75,46.41,49.11,47.47
17,46.44,49.17,47.53
17.25,46.47,49.26,47.63
17.5,46.53,49.33,47.69
17.75,46.53,49.45,47.75
18,46.63,49.48,47.82
18.25,46.63,49.51,47.82
18.5,46.6,49.61,47.88
18.75,46.69,49.64,47.91
19,46.69,49.67,47.94
19.25,46.69,49.67,47.91
19.5,46.66,49.67,47.88
19.75,46.66,49.64,47.85
20,46.69,49.67,47.81
20.25,46.69,49.67,47.75
20.5,46.63,49.64,47.66
20.75,46.63,49.58,47.62
21,46.6,49.55,47.53
21.25,46.53,49.52,47.53
21.5,46.56,49.45,47.47
21.75,46.53,49.42,47.38
22,46.5,49.36,47.35
22.25,46.47,49.3,47.25
22.5,46.47,49.2,47.16
22.75,46.41,49.17,47.06
23,46.38,49.11,46.97
23.25,46.34,49.05,46.85
23.5,46.31,48.99,46.78
23.75,46.28,48.89,46.66
24,46.19,48.83,46.56
24.25,46.22,48.79,46.44
24.5,46.16,48.73,46.38
24.75,46.13,48.61,46.25
25,46.1,48.55,46.19
25.25,46,48.45,46.06
25.5,46,48.36,45.94
25.75,45.94,48.29,45.85
26,45.91,48.26,45.75
26.25,45.85,48.17,45.66
26.5,45.82,48.08,45.56
26.75,45.79,47.98,45.5
27,45.75,47.95,45.38
27.25,45.72,47.92,45.31
27.5,45.66,47.83,45.22
27.75,45.63,47.76,45.12
28,45.57,47.7,45.06
28.25,45.6,47.64,44.97
28.5,45.53,47.64,44.88
28.75,45.5,47.55,44.82
29,45.47,47.51,44.72
29.25,45.47,47.45,44.69
29.5,45.47,47.42,44.56
29.75,45.41,47.36,44.5
30,45.41,47.36,44.44
30.25,45.41,47.29,44.38
30.5,45.41,47.23,44.35
30.75,45.41,47.23,44.29
31,45.35,47.14,44.22
31.25,45.38,47.17,44.16
31.5,45.41,47.11,44.13
31.75,45.35,47.11,44.1
32,45.35,47.08,44
32.25,45.38,47.08,44
32.5,45.38,47.08,43.91
32.75,45.41,47.08,43.88
33,45.41,47.01,43.88
33.25,45.38,47.01,43.85
33.5,45.41,47.01,43.78
33.75,45.41,47.01,43.75
34,45.41,47.01,43.72
34.25,45.44,47.01,43.72
34.5,45.47,47.01,43.66
34.75,45.5,46.95,43.66
35,45.53,46.95,43.6
35.25,45.53,46.98,43.57
35.5,45.56,46.95,43.54
35.75,45.59,46.95,43.54
36,45.63,46.98,43.5
36.25,45.66,46.95,43.47
36.5,45.69,46.98,43.44
36.75,45.69,46.95,43.44
37,45.78,47.02,43.47
37.25,45.81,46.98,43.47
37.5,45.85,47.02,43.47
37.75,45.88,46.98,43.44
38,45.91,47.02,43.47
38.25,45.94,47.01,43.44
38.5,45.97,47.05,43.44
38.75,46,47.05,43.44
39,46.09,47.05,43.44
39.25,46.12,47.05,43.47
39.5,46.16,47.11,43.44
39.75,46.19,47.14,43.44
40,46.25,47.14,43.47
40.25,46.32,47.17,43.44
40.5,46.31,47.14,43.47
40.75,46.38,47.2,43.47
41,46.47,47.2,43.5
41.25,46.5,47.27,43.53
41.5,46.56,47.23,43.5
41.75,46.59,47.26,43.57
42,46.63,47.3,43.57
42.25,46.69,47.3,43.57
42.5,46.75,47.3,43.6
42.75,46.78,47.39,43.6
43,46.85,47.36,43.6
43.25,46.91,47.42,43.63
43.5,46.94,47.42,43.63
43.75,47,47.39,43.66
44,47.03,47.42,43.66
44.25,47.09,47.45,43.66
44.5,47.16,47.48,43.69
44.75,47.16,47.48,43.66
45,47.22,47.51,43.66
45.25,47.28,47.54,43.69
45.5,47.35,47.54,43.69
45.75,47.35,47.57,43.72
46,47.41,47.57,43.72
46.25,47.47,47.61,43.75
46.5,47.5,47.61,43.72
46.75,47.53,47.64,43.78
47,47.56,47.67,43.75
47.25,47.63,47.7,43.72
47.5,47.63,47.7,43.72
47.75,47.69,47.64,43.75
48,47.75,47.67,43.72
48.25,47.78,47.64,43.69
48.5,47.82,47.64,43.66
48.75,47.82,47.64,43.69
49,47.88,47.64,43.69
49.25,47.91,47.64,43.66
49.5,47.91,47.64,43.6
49.75,47.97,47.64,43.6
50,47.97,47.64,43.6
50.25,48,47.61,43.56
50.5,48,47.61,43.6
50.75,48.07,47.61,43.5
51,48.07,47.61,43.5
51.25,48.07,47.54,43.44
51.5,48.07,47.54,43.47
51.75,48.13,47.51,43.44
52,48.13,47.51,43.37
52.25,48.16,47.48,43.31
52.5,48.16,47.48,43.28
52.75,48.16,47.45,43.25
53,48.19,47.42,43.19
53.25,48.19,47.42,43.19
53.5,48.19,47.33,43.13
53.75,48.16,47.33,43.13
54,48.19,47.29,43.07
54.25,48.19,47.23,43.03
54.5,48.19,47.23,42.97
54.75,48.19,47.2,42.91
55,48.16,47.17,42.91
55.25,48.19,47.14,42.84
55.5,48.16,47.11,42.81
55.75,48.13,47.07,42.75
56,48.16,47.01,42.72
56.25,48.16,46.95,42.66
56.5,48.1,46.92,42.63
56.75,48.13,46.92,42.6
57,48.1,46.89,42.53
57.25,48.1,46.79,42.5
57.5,48.1,46.79,42.44
57.75,48.1,46.76,42.41
58,48.06,46.7,42.34
58.25,48.06,46.67,42.31
58.5,48.06,46.61,42.25
58.75,48.03,46.58,42.19
59,48,46.51,42.16
59.25,47.97,46.45,42.1
59.5,47.97,46.42,42.1
59.75,47.94,46.33,41.97
60,47.94,46.29,41.94
60.25,47.88,46.26,41.94
60.5,47.84,46.17,41.84
60.75,47.84,46.17,41.78
61,47.81,46.11,41.72
61.25,47.78,46.04,41.75
61.5,47.75,46.04,41.66
61.75,47.72,45.98,41.63
62,47.72,45.92,41.6
62.25,47.72,45.86,41.6
62.5,47.66,45.86,41.56
62.75,47.69,45.83,41.5
63,47.69,45.8,41.47
63.25,47.66,45.76,41.41
63.5,47.66,45.73,41.41
63.75,47.63,45.7,41.37
64,47.6,45.67,41.37
64.25,47.6,45.67,41.31
64.5,47.6,45.61,41.31
64.75,47.53,45.58,41.34
65,47.6,45.55,41.28
65.25,47.53,45.52,41.28
65.5,47.53,45.52,41.28
65.75,47.53,45.48,41.19
66,47.53,45.45,41.16
66.25,47.5,45.42,41.22
66.5,47.47,45.42,41.16
66.75,47.47,45.39,41.16
67,47.47,45.36,41.16
67.25,47.47,45.33,41.1
67.5,47.47,45.33,41.06
67.75,47.44,45.33,41.07
68,47.47,45.27,41.06
68.25,47.44,45.27,41.03
68.5,47.44,45.27,41.03
68.75,47.44,45.23,41
69,47.41,45.2,41
69.25,47.44,45.14,40.97
69.5,47.44,45.17,40.97
69.75,47.41,45.17,40.97
70,47.44,45.11,40.94
70.25,47.44,45.08,40.91
70.5,47.41,45.08,40.91
70.75,47.41,45.08,40.91
71,47.41,45.05,40.91
71.25,47.41,45.02,40.84
71.5,47.38,45.02,40.84
71.75,47.38,45.05,40.84
72,47.41,44.99,40.84
72.25,47.41,44.95,40.78
72.5,47.41,44.92,40.75
72.75,47.37,44.92,40.78
73,47.41,44.92,40.75
73.25,47.38,44.89,40.72
73.5,47.41,44.89,40.72
73.75,47.38,44.83,40.66
74,47.38,44.86,40.66
74.25,47.38,44.8,40.6
74.5,47.38,44.8,40.56
74.75,47.41,44.8,40.56
75,47.31,44.73,40.53
75.25,47.35,44.76,40.53
75.5,47.38,44.73,40.53
75.75,47.35,44.7,40.5
76,47.35,44.64,40.47
76.25,47.31,44.64,40.41
76.5,47.31,44.61,40.44
76.75,47.31,44.58,40.37
77,47.31,44.52,40.34
77.25,47.28,44.52,40.34
77.5,47.28,44.49,40.28
77.75,47.28,44.45,40.22
78,47.28,44.45,40.19
78.25,47.25,44.39,40.19
78.5,47.25,44.39,40.13
78.75,47.22,44.36,40.13
79,47.22,44.3,40.06
79.25,47.19,44.3,40.06
79.5,47.19,44.27,40.03
79.75,47.16,44.23,40
80,47.13,44.14,39.94
80.25,47.13,44.17,39.94
80.5,47.13,44.14,39.87
80.75,47.1,44.08,39.81
81,47.1,44.02,39.81
81.25,47.07,44.02,39.78
81.5,47.07,44.02,39.75
81.75,46.97,43.95,39.69
82,47,43.89,39.66
82.25,47,43.92,39.6
82.5,46.97,43.83,39.56
82.75,46.97,43.8,39.56
83,46.94,43.76,39.5
83.25,46.91,43.77,39.47
83.5,46.88,43.7,39.41
83.75,46.91,43.67,39.37
84,46.85,43.61,39.34
84.25,46.85,43.61,39.28
84.5,46.85,43.58,39.25
84.75,46.82,43.55,39.25
85,46.79,43.49,39.25
85.25,46.75,43.42,39.19
85.5,46.75,43.39,39.16
85.75,46.72,43.42,39.16
86,46.72,43.33,39.1
86.25,46.69,43.33,39.06
86.5,46.66,43.26,39.06
86.75,46.69,43.26,39.06
87,46.63,43.26,39.03
87.25,46.6,43.26,39.06
87.5,46.6,43.23,39.06
87.75,46.6,43.2,39.03
88,46.57,43.23,39.03
88.25,46.57,43.2,39.06
88.5,46.5,43.2,39.07
88.75,46.54,43.17,39
89,46.54,43.14,39.03
89.25,46.47,43.11,39.03
89.5,46.5,43.14,39.06
89.75,46.47,43.14,39.06
90,46.44,43.11,38.97
90.25,46.41,43.08,38.97
90.5,46.38,43.11,38.97
90.75,46.41,43.08,39
91,46.38,43.08,39
91.25,46.38,43.05,39
91.5,46.34,43.01,39
91.75,46.34,43.04,39.03
92,46.34,43.04,39.03
92.25,46.31,43.01,38.97
92.5,46.34,43.01,38.94
92.75,46.34,43.04,38.97
93,46.31,43.01,38.97
93.25,46.34,42.98,38.94
93.5,46.34,42.95,38.97
93.75,46.31,42.92,38.94
94,46.31,42.92,38.97
94.25,46.34,42.95,38.94
94.5,46.31,42.92,38.94
94.75,46.31,42.89,38.91
95,46.28,42.92,38.94
95.25,46.31,42.89,38.91
95.5,46.25,42.89,38.94
95.75,46.25,42.89,38.91
96,46.25,42.89,38.88
96.25,46.22,42.89,38.91
96.5,46.22,42.86,38.91
96.75,46.22,42.82,38.88
97,46.22,42.82,38.81
97.25,46.19,42.76,38.87
97.5,46.19,42.76,38.84
97.75,46.19,42.83,38.84
98,46.22,42.79,38.87
98.25,46.16,42.73,38.81
98.5,46.16,42.73,38.84
98.75,46.19,42.73,38.78
99,46.19,42.73,38.78
99.25,46.13,42.73,38.78
99.5,46.13,42.67,38.81
99.75,46.16,42.67,38.72
100,46.13,42.64,38.75
100.25,46.1,42.61,38.72
100.5,46.06,42.58,38.66
100.75,46.03,42.58,38.69
101,46.03,42.54,38.66
101.25,46,42.54,38.66
101.5,45.94,42.48,38.6
101.75,45.91,42.54,38.56
102,45.91,42.45,38.57
102.25,45.87,42.42,38.53
102.5,45.87,42.42,38.47
102.75,45.84,42.36,38.44
103,45.81,42.36,38.41
103.25,45.81,42.29,38.44
103.5,45.75,42.26,38.34
103.75,45.72,42.23,38.34
104,45.72,42.2,38.31
104.25,45.72,42.2,38.28
104.5,45.69,42.14,38.22
104.75,45.63,42.11,38.22
105,45.6,42.08,38.22
105.25,45.56,42.08,38.16
105.5,45.56,42.04,38.13
105.75,45.5,41.98,38.1
106,45.47,41.98,38.07
106.25,45.44,41.92,38
106.5,45.41,41.86,38
106.75,45.34,41.86,37.94
107,45.31,41.82,37.97
107.25,45.28,41.79,37.87
107.5,45.25,41.73,37.84
107.75,45.22,41.7,37.81
108,45.16,41.64,37.78
108.25,45.13,41.58,37.75
108.5,45.1,41.55,37.69
108.75,45.03,41.51,37.66
109,45,41.51,37.63
109.25,44.91,41.45,37.6
109.5,44.87,41.39,37.6
109.75,44.84,41.36,37.5
110,44.81,41.36,37.47
110.25,44.78,41.3,37.44
110.5,44.69,41.23,37.38
110.75,44.66,41.17,37.41
111,44.63,41.17,37.32
111.25,44.53,41.11,37.32
111.5,44.54,41.08,37.29
111.75,44.47,41.05,37.28
112,44.44,40.98,37.28
112.25,44.41,40.98,37.28
112.5,44.38,40.98,37.28
112.75,44.35,40.89,37.25
113,44.31,40.86,37.19
113.25,44.25,40.83,37.22
113.5,44.19,40.77,37.16
113.75,44.13,40.76,37.13
114,44.1,40.7,37.1
114.25,44.07,40.64,37.1
114.5,44,40.61,37.06
114.75,43.97,40.58,37
115,43.91,40.51,37
115.25,43.88,40.48,36.97
115.5,43.81,40.48,36.91
115.75,43.78,40.42,36.91
116,43.66,40.39,36.87
116.25,43.63,40.33,36.88
116.5,43.6,40.29,36.85
116.75,43.5,40.26,36.81
117,43.5,40.23,36.78
117.25,43.41,40.2,36.75
117.5,43.41,40.14,36.72
117.75,43.31,40.14,36.72
118,43.28,40.08,36.63
118.25,43.25,40.01,36.66
118.5,43.19,40.01,36.6
118.75,43.13,39.92,36.6
119,43.1,39.92,36.54
119.25,43.03,39.82,36.47
119.5,43,39.82,36.5
119.75,42.97,39.79,36.47
120,42.87,39.73,36.41
120.25,42.84,39.67,36.44
120.5,42.81,39.61,36.35
120.75,42.69,39.58,36.25
121,42.63,39.51,36.22
121.25,42.6,39.45,36.22
121.5,42.53,39.45,36.16
121.75,42.44,39.39,36.13
122,42.41,39.36,36.07
122.25,42.34,39.32,36.07
122.5,42.28,39.26,36.04
122.75,42.28,39.17,35.94
123,42.16,39.11,35.94
123.25,42.1,39.11,35.91
123.5,42.06,39.08,35.85
123.75,42,39.01,35.85
124,41.94,38.92,35.79
124.25,41.88,38.86,35.72
124.5,41.81,38.83,35.66
124.75,41.75,38.76,35.63
125,41.69,38.73,35.6
125.25,41.63,38.64,35.57
125.5,41.6,38.61,35.5
125.75,41.56,38.52,35.44
126,41.47,38.48,35.44
126.25,41.37,38.42,35.41
126.5,41.31,38.36,35.35
126.75,41.22,38.33,35.32
127,41.19,38.29,35.25
127.25,41.13,38.23,35.19
127.5,41.03,38.11,35.16
127.75,41,38.08,35.09
128,40.94,38.05,35.06
128.25,40.87,37.98,35
128.5,40.78,37.92,34.88
128.75,40.72,37.89,34.85
129,40.63,37.83,34.82
129.25,40.56,37.73,34.75
129.5,40.47,37.64,34.72
129.75,40.44,37.61,34.66
130,40.34,37.55,34.62
130.25,40.28,37.49,34.56
130.5,40.19,37.42,34.5
130.75,40.16,37.36,34.47
131,40.07,37.3,34.38
131.25,40.03,37.2,34.31
131.5,39.91,37.14,34.22
131.75,39.84,37.05,34.13
132,39.75,37.05,34.13
132.25,39.69,36.99,34.09
132.5,39.6,36.89,34.03
132.75,39.5,36.83,33.97
133,39.47,36.77,33.94
133.25,39.41,36.73,33.91
133.5,39.31,36.67,33.81
133.75,39.22,36.58,33.78
134,39.19,36.52,33.72
134.25,39.1,36.45,33.66
134.5,39.03,36.39,33.66
134.75,38.94,36.36,33.59
135,38.88,36.3,33.53
135.25,38.85,36.23,33.5
135.5,38.75,36.14,33.47
135.75,38.69,36.14,33.41
136,38.6,36.05,33.38
136.25,38.53,35.98,33.35
136.5,38.47,35.92,33.25
136.75,38.41,35.86,33.22
137,38.38,35.83,33.19
137.25,38.28,35.73,33.16
137.5,38.22,35.7,33.09
137.75,38.1,35.67,33.03
138,38.07,35.58,33.03
138.25,37.97,35.48,33
138.5,37.91,35.45,32.91
138.75,37.85,35.45,32.85
139,37.78,35.39,32.82
139.25,37.75,35.3,32.79
139.5,37.69,35.3,32.75
139.75,37.6,35.2,32.72
140,37.57,35.17,32.66
140.25,37.44,35.11,32.63
140.5,37.44,35.05,32.6
140.75,37.35,35.01,32.6
141,37.25,34.95,32.5
141.25,37.22,34.92,32.47
141.5,37.16,34.86,32.41
141.75,37.07,34.76,32.38
142,37.04,34.73,32.32
142.25,36.94,34.7,32.28
142.5,36.88,34.64,32.22
142.75,36.85,34.61,32.22
143,36.72,34.55,32.13
143.25,36.72,34.48,32.13
143.5,36.63,34.42,32.1
143.75,36.6,34.36,32
144,36.5,34.3,32